论文名称,论文年份,会议简称,论文类型,论文信息,实验数据集,论文解决问题类别,论文方法所属类别,备注
Teacher-Student Training and Triplet Loss for Facial Expression Recognition under Occlusion,2020,ICPR,模型,Triplet Loss Teacher-Student Training Occlusion,FER+ AffectNet,Occlusion,loss,
Adversarial Graph Representation Adaptation for Cross-Domain Facial Expression Recognition,2020,ACM MM,模型,Graph Representation Propagation Adversarial Learning Cross-domain holistic-local feature Co-adaptation,RAF-DB CK+ JAFFE FER2013 SFEW2.0 ExpW,Representation Adaptation,architecture,
EmotiCon: Context-Aware Multimodal Emotion Recognition Using Frege's Principle,2020,CVPR,模型,Context-Aware； Multimodal Emotion Recognition,EMOTIC GroupWalk,Context-Aware,architecture,
Noisy Student Training using Body Language Dataset Improves Facial Expression Recognition,2020,ECCVW(Bodily Expressed Emotion Understanding),模型,Self-training； Multi-level attention,CK+ AFEW,Lack Data,,
Learnable Graph Inception Network for Emotion Recognition,2020,arXiv,模型,graph approach； time-varying (dynamic) data modality?,RaFD CFEED,artifacts and blurs ,,
Discriminant Distribution-Agnostic Loss for Facial Expression Recognition in the Wild,2020,CVPRW,模型,optimize the embedding space for extreme class imbalance,RAF-DB AffectNet,class imbalance ,,
Challenges in Recognizing Spontaneous and Intentionally Expressed Reactions to Positive and Negative Images,2020,CVPRW,模型,recognize positive versus negative states,,,,
Multiple Transfer Learning and Multi-label Balanced Training Strategies for Facial AU Detection In the Wild,2020,CVPRW,模型,,,,,
Label Distribution Learning on Auxiliary Label Space Graphs for Facial Expression Recognition,2020,CVPRW,,,,,,
Emotion Recognition in Context,2017,CVPR,模型,,,,,
RAF-AU Database: In-the-Wild Facial Expressions with Subjective Emotion Judgement and Objective AU Annotations,2020,arXiv,数据,,,,,
DFEW: A Large-Scale Database for Recognizing Dynamic Facial Expressions in the Wild,2020,ACMMM,数据,,,,,
Facial Expression Recognition Under Partial Occlusion from Virtual Reality Headsets based on Transfer Learning,2020,IEEE BigMM,实验,,,,,
Predicting Sentiments in Image Advertisements using Semantic Relations among Sentiment Labels,2020,CVPRW,模型,"sentiment label, unsupervised manner, distance metric",,,,
Automatic understanding of image and video advertisements,2017,CVPR,数据,,,,,
Suppressing Uncertainties for Large-Scale Facial Expression Recognition,2020,CVPR,模型,,"RAF-DB, FERPlus, AffectNet, WebEmotion",Uncertainties,"relabel,reweight",
Rethinking the Model Chosen Problem in Multi-Task Learning,2020,CVPRW,模型,multi-task,,,,
Facial Action Unit Recognition in the Wild with Multi-Task CNN Self-Training for the EmotioNet Challenge,2020,CVPRW,模型,"multi-task, self-training",,,,
Investigating Bias and Fairness in Facial Expression Recognition,2020,ECCVW,实验,,"RAF-DB, CelebA",Bias?,,
"Hey Human, If your Facial Emotions are Uncertain, You Should Use Bayesian Neural Networks!",2020,ECCV,模型,,,,,
Multi-label Learning with Missing Values using Combined Facial Action Unit Datasets,2020,ICMLW,模型,,,,,
Learning Disentangled Expression Representations from Facial Images,2020,ECCVW,模型,,,,,
Take an Emotion Walk: Perceiving Emotions from Gaits Using Hierarchical Attention Pooling and Affective Mapping,2020,ECCV,模型,autoencoder-based semi-supervised,,,,
Multitask Emotion Recognition with Incomplete Labels,2020,FG,模型,,,,,
Detection of Genuine and Posed Facial Expressions of Emotion: A Review,2020,arXiv,综述,,,,,
Point Adversarial Self Mining: A Simple Method for Facial Expression Recognition in the Wild,2020,arXiv,模型,,,,,
Adversarial Graph Representation Adaptation for Cross-Domain Facial Expression Recognition,2020,ACM MM,模型,,,,,
Learning Visual Emotion Representations From Web Data,2020,CVPR,,,,,,
Attention-Aware Polarity Sensitive Embedding for Affective Image Retrieval,2019,ICCV,,,,,,
Context-Aware Emotion Recognition Networks,2019,ICCV,,,,,,
Efficient facial feature learning with wide ensemble-based convolutional neural networks,2020,AAAI,,,,,,
MIMAMO Net: Integrating Micro- and Macro-motion for Video Emotion Recognition,2020,AAAI,,,,,,
"M3ER: Multiplicative Multimodal Emotion Recognition Using Facial, Textual, and Speech Cues",2020,AAAI,,,,,,
An End-to-End Visual-Audio Attention Network for Emotion Recognition in User-Generated Videos,2020,AAAI,,,,,,
IExpressNet: Facial Expression Recognition with Incremental Classes,2020,ACM MM,,,,,,
Occluded Facial Expression Recognition with Step-Wise Assistance from Unpaired Non-Occluded Images,2020,ACM MM,,,,,,
Uncertainty-aware Cross-dataset Facial Expression Recognition via Regularized Conditional Alignment,2020,ACM MM,,,,,,
R-FENet: A Region-based Facial Expression Recognition Method Inspired by Semantic Information of Action Units,2020,ACM MM,,,,,,
A Novel Graph-TCN with a Graph Structured Representation for Micro-expression Recognition?,2020,ACM MM,,,,,,
Adversarial Graph Representation Adaptation for Cross-Domain Facial Expression Recognition,2020,ACM MM,,,,,,
Weakly Supervised Local-Global Relation Network for Facial Expression Recognition,2020,IJCAI,,,,,,
CLIFER: Continual Learning with Imagination for Facial Expression Recognition,2020,FG,,,,,,
The FaceChannel: A Light-weight Deep Neural Network for Facial Expression Recognition,2020,FG,,,,,,
Real-time Facial Expression Recognition “In The Wild” by Disentangling 3D Expression from Identity,2020,FG,,,,,,
Facial Expression Recognition with Deeply-Supervised Attention Network,2020,TAC,,,,,,
